NAME,B01003_001E,B19013_001E,B17001_002E,state,county
"Childress County, Texas",7059,36633,1177,48,075
"Comal County, Texas",119632,65833,10423,48,091
"Houston County, Texas",22949,32698,4918,48,225
"Navarro County, Texas",48118,41505,9794,48,349
"Scurry County, Texas",17238,56842,1527,48,415
"Stonewall County, Texas",1414,42155,264,48,433
"Bastrop County, Texas",76948,54821,10664,48,021
"Bee County, Texas",32659,42302,5274,48,025
"Crane County, Texas",4730,58333,606,48,103
"Rutland County, Vermont",60530,49372,7276,50,021
"Orange County, Vermont",28929,53869,3498,50,017
"Windsor County, Vermont",56150,52965,6041,50,027
"Juncos Municipio, Puerto Rico",40104,19141,18983,72,077
"Adjuntas Municipio, Puerto Rico",18962,10499,11645,72,001
"Hormigueros Municipio, Puerto Rico",16845,20598,6246,72,067
"Naranjito Municipio, Puerto Rico",29751,17423,14616,72,105
"Arecibo Municipio, Puerto Rico",92511,16485,45195,72,013
"Florida Municipio, Puerto Rico",12408,14994,6689,72,054
"Moca Municipio, Puerto Rico",38815,14427,20947,72,099
"Salinas Municipio, Puerto Rico",30114,15240,16746,72,123
"Yauco Municipio, Puerto Rico",39474,14708,20168,72,153
"Cabo Rojo Municipio, Puerto Rico",50380,16499,25503,72,023
"Las Marías Municipio, Puerto Rico",9306,13944,5357,72,083
"Villalba Municipio, Puerto Rico",24685,17818,13223,72,149
"Aguada Municipio, Puerto Rico",40603,16029,21982,72,003
"Cidra Municipio, Puerto Rico",42298,23315,16524,72,041
"Luquillo Municipio, Puerto Rico",19497,18170,8868,72,089
"Orocovis Municipio, Puerto Rico",22595,14110,13353,72,107
"Trinity County, Texas",14405,34295,2381,48,455
"Bandera County, Texas",20796,49863,2662,48,019
"Ceiba Municipio, Puerto Rico",12810,20702,5536,72,037
"Isabela Municipio, Puerto Rico",44438,15707,24673,72,071
"Las Piedras Municipio, Puerto Rico",38605,18838,18976,72,085
"Vega Alta Municipio, Puerto Rico",39319,18016,19358,72,143
"Somerset County, Pennsylvania",76617,44587,9074,42,111
"Madison County, Missouri",12401,35097,2238,29,123
"Vernon County, Missouri",20878,40693,3764,29,217
"Nodaway County, Missouri",23186,35854,5682,29,147
"Chariton County, Missouri",7650,40642,1213,29,041
"Wayne County, Missouri",13397,33750,2960,29,223
"Scott County, Missouri",39061,39162,7492,29,201
"Barton County, Missouri",12166,37467,2910,29,011
"Cedar County, Missouri",13892,31532,3381,29,039
"Gasconade County, Missouri",14948,42826,2316,29,073
"Macon County, Missouri",15460,36976,2895,29,121
"Oregon County, Missouri",10979,29851,2824,29,149
"Ste. Genevieve County, Missouri",17990,47014,2540,29,186
"Douglas County, Missouri",13516,30508,2941,29,067
"Lawrence County, Missouri",38244,40597,7052,29,109
"Pulaski County, Missouri",53443,47931,5781,29,169
"Texas County, Missouri",25735,35088,5214,29,215
"Callaway County, Missouri",44566,47744,5865,29,027
"Cooper County, Missouri",17593,44549,2354,29,053
"Gentry County, Missouri",6785,41912,1119,29,075
"Mississippi County, Missouri",14208,28347,3642,29,133
"Ozark County, Missouri",9537,31399,2292,29,153
"Bollinger County, Missouri",12356,39707,2654,29,017
"Knox County, Missouri",4035,38289,823,29,103
"Montgomery County, Missouri",11939,39830,2025,29,139
"Stoddard County, Missouri",29837,38203,4583,29,207
"Audrain County, Missouri",25783,41310,4401,29,007
"Greene County, Missouri",283206,41227,51533,29,077
"St. Clair County, Missouri",9520,32046,2156,29,185
"Schuyler County, Missouri",4395,37500,914,29,197
"Camden County, Missouri",43927,44816,7516,29,029
"Jefferson County, Missouri",221577,55348,23937,29,099
"New Madrid County, Missouri",18411,33630,4094,29,143
"Ralls County, Missouri",10243,47345,1254,29,173
"Custer County, Montana",11945,48750,1298,30,017
"Powder River County, Montana",1703,46346,155,30,075
"Roosevelt County, Montana",11072,32974,3007,30,085
"Liberty County, Montana",2369,47768,416,30,051
"Richland County, Montana",11132,65084,1264,30,083
"Toole County, Montana",5150,44804,866,30,101
"Daniels County, Montana",1758,49239,100,30,019
"Judith Basin County, Montana",1997,44602,281,30,045
"Deer Lodge County, Montana",9211,39399,1499,30,023
"McCone County, Montana",1728,40750,151,30,055
"Rosebud County, Montana",9352,51159,1893,30,087
"Dawson County, Montana",9365,52738,1210,30,021
"Broadwater County, Montana",5692,50115,556,30,007
"Phillips County, Montana",4167,36071,651,30,071
"Blaine County, Nebraska",551,48875,106,31,009
"Deuel County, Nebraska",1946,50962,246,31,049
"Logan County, Nebraska",851,48281,91,31,113
"Thayer County, Nebraska",5182,45741,604,31,169
"Adams County, Nebraska",31442,50635,3499,31,001
"Henry County, Missouri",22034,42181,4131,29,083
"Boone County, Nebraska",5373,50306,533,31,011
"Rock County, Nebraska",1401,48456,162,31,149
"Sherman County, Nebraska",3107,46366,411,31,163
"Howard County, Nebraska",6347,50030,658,31,093
"Gosper County, Nebraska",1976,54375,110,31,073
"Sarpy County, Nebraska",169192,70543,10684,31,153
"Boyd County, Nebraska",2039,40224,220,31,015
"Fillmore County, Nebraska",5697,52316,514,31,059
"Hooker County, Nebraska",681,37317,123,31,091
