YEAR,BENE_GEO_LVL,BENE_GEO_DESC,BENE_GEO_CD,BENES_TOTAL_CNT,ER_VISITS_PER_1000_BENES,County,Population,Median_Income,People_In_Poverty
2015,County,AK-Aleutians West,02016,239.0,104.8951,"Aleutians West Census Area, Alaska",5684,84306.0,499
2015,County,AK-Anchorage,02020,34768.0,606.9714,"Anchorage Municipality, Alaska",299107,78326.0,23914
2015,County,AK-Bethel,02050,1340.0,60.4089,"Bethel Census Area, Alaska",17776,51012.0,4364
2015,County,AK-Bristol Bay,02060,127.0,247.619,"Bristol Bay Borough, Alaska",970,79750.0,69
2015,County,AK-Denali,02068,208.0,287.234,"Denali Borough, Alaska",2060,81544.0,254
2015,County,AK-Dillingham,02070,470.0,107.438,"Dillingham Census Area, Alaska",4979,54173.0,894
2015,County,AK-Fairbanks North Star,02090,10117.0,630.3157,"Fairbanks North Star Borough, Alaska",99705,71068.0,7752
2015,County,AK-Haines,02100,550.0,332.6531,"Haines Borough, Alaska",2560,58750.0,135
2015,County,AK-Hoonah-Angoon,02105,271.0,224.6696,"Hoonah-Angoon Census Area, Alaska",2128,52419.0,252
2015,County,AK-Juneau,02110,4488.0,593.1461,"Juneau City and Borough, Alaska",32531,85746.0,2110
2015,County,AK-Kenai Peninsula,02122,10248.0,643.2222,"Kenai Peninsula Borough, Alaska",57221,63684.0,5558
2015,County,AK-Ketchikan Gateway,02130,2280.0,779.6954,"Ketchikan Gateway Borough, Alaska",13699,64222.0,1640
2015,County,AK-Kodiak Island,02150,1504.0,452.3619,"Kodiak Island Borough, Alaska",13973,70887.0,1552
2015,County,AK-Kusilvak,02158,541.0,31.0421,"Kusilvak Census Area, Alaska",7914,38229.0,2622
2015,County,AK-Lake and Peninsula,02164,177.0,147.8873,"Lake and Peninsula Borough, Alaska",1474,50781.0,247
2015,County,AK-Matanuska-Susitna,02170,12187.0,600.2681,"Matanuska-Susitna Borough, Alaska",96178,72983.0,9454
2015,County,AK-Nome,02180,827.0,1072.4409,"Nome Census Area, Alaska",9854,48868.0,2592
2015,County,AK-North Slope,02185,512.0,118.4211,"North Slope Borough, Alaska",9667,72576.0,976
2015,County,AK-Northwest Arctic,02188,580.0,107.5515,"Northwest Arctic Borough, Alaska",7732,63648.0,1824
2015,County,AK-Petersburg,02195,715.0,393.75,"Petersburg Borough, Alaska",3221,67935.0,327
2015,County,AK-Prince of Wales-Hyder,02198,906.0,259.6026,"Prince of Wales-Hyder Census Area, Alaska",6376,48523.0,921
2015,County,AK-Sitka,02220,1334.0,480.9228,"Sitka City and Borough, Alaska",8943,70376.0,798
2015,County,AK-Skagway,02230,321.0,197.8022,"Skagway Municipality, Alaska",999,69318.0,44
2015,County,AK-Southeast Fairbanks,02240,1114.0,363.0573,"Southeast Fairbanks Census Area, Alaska",7029,62670.0,1011
2015,County,AK-Valdez-Cordova,02261,1305.0,367.5676,"Valdez-Cordova Census Area, Alaska",9617,78810.0,1029
2015,County,AK-Wrangell,02275,463.0,677.3399,"Wrangell City and Borough, Alaska",2387,48603.0,279
2015,County,AK-Yakutat,02282,101.0,152.1739,"Yakutat City and Borough, Alaska",643,72500.0,35
2015,County,AK-Yukon-Koyukuk,02290,817.0,464.7239,"Yukon-Koyukuk Census Area, Alaska",5644,38491.0,1252
2015,County,AL-Autauga,01001,10420.0,729.1967,"Autauga County, Alabama",55221,51281.0,7057
2015,County,AL-Baldwin,01003,46969.0,532.8148,"Baldwin County, Alabama",195121,50254.0,25798
2015,County,AL-Barbour,01005,6390.0,873.953,"Barbour County, Alabama",26932,32964.0,6421
2015,County,AL-Bibb,01007,4961.0,751.3572,"Bibb County, Alabama",22604,38678.0,3488
2015,County,AL-Blount,01009,12400.0,631.7096,"Blount County, Alabama",57710,45813.0,9552
2015,County,AL-Bullock,01011,2053.0,782.7085,"Bullock County, Alabama",10678,31938.0,2486
2015,County,AL-Butler,01013,4893.0,869.1242,"Butler County, Alabama",20354,32229.0,5094
2015,County,AL-Calhoun,01015,27416.0,772.0334,"Calhoun County, Alabama",116648,41703.0,23325
2015,County,AL-Chambers,01017,8937.0,705.8391,"Chambers County, Alabama",34079,34177.0,7273
2015,County,AL-Cherokee,01019,7035.0,734.3655,"Cherokee County, Alabama",26008,36296.0,4918
2015,County,AL-Chilton,01021,9183.0,551.6849,"Chilton County, Alabama",43819,41627.0,8288
2015,County,AL-Choctaw,01023,3894.0,840.2138,"Choctaw County, Alabama",13395,33536.0,3093
2015,County,AL-Clarke,01025,6352.0,668.2464,"Clarke County, Alabama",25070,32011.0,6107
2015,County,AL-Clay,01027,3710.0,674.4898,"Clay County, Alabama",13537,35327.0,2201
2015,County,AL-Cleburne,01029,3555.0,746.3327,"Cleburne County, Alabama",15002,38056.0,2508
2015,County,AL-Coffee,01031,10377.0,750.6039,"Coffee County, Alabama",50884,46729.0,8581
2015,County,AL-Colbert,01033,13992.0,869.0466,"Colbert County, Alabama",54444,40576.0,9406
2015,County,AL-Conecuh,01035,3603.0,1036.8119,"Conecuh County, Alabama",12865,24900.0,4320
2015,County,AL-Coosa,01037,2592.0,836.9781,"Coosa County, Alabama",11027,31212.0,2073
2015,County,AL-Covington,01039,9835.0,936.4658,"Covington County, Alabama",37886,36444.0,7515
2015,County,AL-Crenshaw,01041,3546.0,820.5426,"Crenshaw County, Alabama",13938,36022.0,2288
2015,County,AL-Cullman,01043,19441.0,632.9283,"Cullman County, Alabama",80965,38971.0,14814
2015,County,AL-Dale,01045,10330.0,925.0059,"Dale County, Alabama",49866,45028.0,9306
2015,County,AL-Dallas,01047,10119.0,811.71,"Dallas County, Alabama",42154,27306.0,14580
2015,County,AL-DeKalb,01049,15568.0,657.158,"DeKalb County, Alabama",71068,38192.0,13133
2015,County,AL-Elmore,01051,16174.0,607.0769,"Elmore County, Alabama",80763,53555.0,10334
2015,County,AL-Escambia,01053,8863.0,973.7817,"Escambia County, Alabama",37935,32330.0,8609
2015,County,AL-Etowah,01055,25877.0,683.225,"Etowah County, Alabama",103766,39220.0,20078
2015,County,AL-Fayette,01057,4944.0,949.3545,"Fayette County, Alabama",16896,34680.0,3055
2015,County,AL-Franklin,01059,6910.0,840.2707,"Franklin County, Alabama",31634,35372.0,7020
2015,County,AL-Geneva,01061,6931.0,798.5386,"Geneva County, Alabama",26815,36024.0,6149
2015,County,AL-Greene,01063,2257.0,920.9278,"Greene County, Alabama",8697,20541.0,3479
2015,County,AL-Hale,01065,4053.0,943.3034,"Hale County, Alabama",15256,32714.0,4011
2015,County,AL-Henry,01067,4657.0,680.4155,"Henry County, Alabama",17252,41997.0,2657
2015,County,AL-Houston,01069,22857.0,724.9645,"Houston County, Alabama",103534,41571.0,18746
2015,County,AL-Jackson,01071,13087.0,688.2034,"Jackson County, Alabama",52860,37745.0,9415
2015,County,AL-Jefferson,01073,130935.0,652.7348,"Jefferson County, Alabama",659026,45610.0,121029
2015,County,AL-Lamar,01075,3977.0,935.1477,"Lamar County, Alabama",14133,35450.0,3382
2015,County,AL-Lauderdale,01077,21566.0,637.0345,"Lauderdale County, Alabama",92737,43125.0,16232
2015,County,AL-Lawrence,01079,7803.0,792.5549,"Lawrence County, Alabama",33586,40003.0,6225
2015,County,AL-Lee,01081,21583.0,549.9877,"Lee County, Alabama",150982,44570.0,34561
2015,County,AL-Limestone,01083,16652.0,774.5251,"Limestone County, Alabama",88805,49570.0,12075
2015,County,AL-Lowndes,01085,2776.0,788.084,"Lowndes County, Alabama",10742,25876.0,3035
2015,County,AL-Macon,01087,4558.0,630.6401,"Macon County, Alabama",20018,30738.0,4636
2015,County,AL-Madison,01089,61130.0,639.2818,"Madison County, Alabama",346438,57993.0,46436
2015,County,AL-Marengo,01091,5475.0,654.8458,"Marengo County, Alabama",20306,32042.0,5244
2015,County,AL-Marion,01093,7351.0,833.0614,"Marion County, Alabama",30387,32299.0,5960
2015,County,AL-Marshall,01095,20588.0,776.2282,"Marshall County, Alabama",94318,38983.0,18794
